,total_cup_points,species,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,continent
47,86.0,Arabica,Colombia,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.12,South America
48,86.0,Arabica,Kenya,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,0.11,Africa
49,86.0,Arabica,Uganda,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,0.1,Africa
50,86.0,Arabica,Ethiopia,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,0.01,Africa
51,86.0,Arabica,United States (Hawaii),8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,0.0,North America
52,85.92,Arabica,Guatemala,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,0.1,North America
53,85.92,Arabica,Uganda,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,0.12,Africa
54,85.92,Arabica,Colombia,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,0.0,South America
55,85.83,Arabica,Panama,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,0.08,North America
56,85.83,Arabica,Ethiopia,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,0.1,Africa
57,85.83,Arabica,Guatemala,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,0.12,North America
58,85.83,Arabica,Guatemala,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,0.1,North America
59,85.75,Arabica,Ethiopia,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,0.09,Africa
60,85.75,Arabica,Peru,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,0.1,South America
61,85.75,Arabica,Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,0.12,Oceania
62,85.58,Arabica,El Salvador,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,0.1,North America
63,85.58,Arabica,El Salvador,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,0.11,North America
64,85.58,Arabica,United States (Hawaii),7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,0.0,North America
65,85.5,Arabica,Panama,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,0.09,North America
66,85.5,Arabica,Kenya,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,0.1,Africa
67,85.5,Arabica,Ethiopia,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,0.12,Africa
68,85.5,Arabica,Uganda,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,0.12,Africa
69,85.5,Arabica,Guatemala,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,0.11,North America
70,85.42,Arabica,Ethiopia,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,0.1,Africa
71,85.42,Arabica,Uganda,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,0.12,Africa
72,85.42,Arabica,United States (Hawaii),7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,0.0,North America
73,85.42,Arabica,Brazil,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,0.11,South America
74,85.42,Arabica,El Salvador,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,0.01,North America
75,85.33,Arabica,China,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,0.1,Asia
76,85.33,Arabica,Guatemala,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,0.11,North America
77,85.33,Arabica,Costa Rica,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,0.0,North America
78,85.33,Arabica,Costa Rica,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,0.1,North America
79,85.33,Arabica,Kenya,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,0.0,Africa
80,85.33,Arabica,Kenya,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,0.0,Africa
81,85.33,Arabica,Ethiopia,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,0.05,Africa
82,85.33,Arabica,Ethiopia,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,0.1,Africa
83,85.25,Arabica,Guatemala,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.1,North America
84,85.25,Arabica,Colombia,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.11,South America
85,85.25,Arabica,Colombia,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,0.12,South America
86,85.17,Arabica,Indonesia,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,0.11,Asia
87,85.17,Arabica,Guatemala,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,0.0,North America
88,85.08,Arabica,Ethiopia,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,0.11,Africa
89,85.08,Arabica,Colombia,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,0.0,South America
90,85.08,Arabica,Ethiopia,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,0.1,Africa
91,85.08,Arabica,United States (Hawaii),7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,0.11,North America
92,85.08,Arabica,Colombia,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,0.11,South America
93,85.08,Arabica,United States (Hawaii),8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,0.01,North America
94,85.08,Arabica,Ethiopia,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.0,Africa
95,85.08,Arabica,United States (Hawaii),7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,0.0,North America
96,85.0,Arabica,Uganda,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,0.11,Africa
97,85.0,Arabica,Colombia,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.0,South America
98,85.0,Arabica,Costa Rica,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.12,North America
99,85.0,Arabica,Mexico,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,0.09,North America
100,85.0,Arabica,Kenya,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,0.11,Africa
101,85.0,Arabica,Kenya,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,0.0,Africa
102,85.0,Arabica,Brazil,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,0.12,South America
103,85.0,Arabica,Mexico,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,0.0,North America
104,85.0,Arabica,United States (Hawaii),7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,0.0,North America
105,85.0,Arabica,Guatemala,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,0.04,North America
106,84.92,Arabica,Colombia,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.0,South America
107,84.92,Arabica,Colombia,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,0.12,South America
108,84.92,Arabica,Taiwan,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,0.11,Asia
109,84.92,Arabica,"Tanzania, United Republic Of",8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,0.12,Africa
110,84.92,Arabica,Colombia,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,0.11,South America
111,84.92,Arabica,Mexico,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,0.11,North America
112,84.92,Arabica,Brazil,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,0.11,South America
113,84.92,Arabica,Brazil,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,0.12,South America
114,84.92,Arabica,Kenya,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,0.06,Africa
115,84.83,Arabica,Taiwan,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,0.0,Asia
116,84.83,Arabica,Uganda,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,0.12,Africa
117,84.83,Arabica,United States (Hawaii),7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,0.0,North America
118,84.83,Arabica,Ethiopia,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,0.1,Africa
119,84.83,Arabica,Ethiopia,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,0.1,Africa
120,84.75,Arabica,Thailand,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,0.12,Asia
121,84.75,Arabica,Kenya,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.13,Africa
122,84.75,Arabica,Honduras,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,0.11,North America
123,84.75,Arabica,El Salvador,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,0.15,North America
124,84.75,Arabica,Nicaragua,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,0.18,North America
125,84.67,Arabica,El Salvador,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,0.0,North America
126,84.67,Arabica,Indonesia,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.12,Asia
127,84.67,Arabica,Japan,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,0.12,Asia
128,84.67,Arabica,Costa Rica,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,0.1,North America
129,84.67,Arabica,Guatemala,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,0.1,North America
130,84.67,Arabica,Costa Rica,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,0.12,North America
131,84.67,Arabica,Ethiopia,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.1,Africa
132,84.67,Arabica,Costa Rica,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,0.08,North America
133,84.67,Arabica,Costa Rica,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.11,North America
134,84.67,Arabica,Costa Rica,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,0.0,North America
135,84.67,Arabica,Taiwan,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.11,Asia
136,84.67,Arabica,Colombia,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,South America
137,84.67,Arabica,Kenya,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.11,Africa
138,84.67,Arabica,Guatemala,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,0.11,North America
139,84.67,Arabica,Guatemala,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,0.12,North America
140,84.67,Arabica,Mexico,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.13,North America
141,84.67,Arabica,Uganda,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,0.11,Africa
142,84.67,Arabica,Peru,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,0.0,South America
143,84.67,Arabica,Ethiopia,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,0.2,Africa
144,84.58,Arabica,Kenya,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,0.11,Africa
145,84.58,Arabica,Colombia,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,0.0,South America
146,84.58,Arabica,Colombia,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,0.0,South America
147,84.58,Arabica,Kenya,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,0.1,Africa
148,84.58,Arabica,Guatemala,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.11,North America
149,84.58,Arabica,Guatemala,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,0.09,North America
150,84.58,Arabica,Colombia,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,0.0,South America
151,84.58,Arabica,Colombia,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,0.0,South America
152,84.58,Arabica,Kenya,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,0.0,Africa
153,84.58,Arabica,Colombia,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,0.0,South America
154,84.58,Arabica,Costa Rica,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,0.12,North America
155,84.58,Arabica,Colombia,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,0.11,South America
156,84.58,Arabica,Brazil,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,0.12,South America
157,84.58,Arabica,Brazil,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,0.11,South America
158,84.5,Arabica,Costa Rica,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,0.1,North America
159,84.5,Arabica,Uganda,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,0.11,Africa
160,84.5,Arabica,China,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,0.1,Asia
161,84.5,Arabica,Costa Rica,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,0.11,North America
162,84.5,Arabica,Colombia,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.12,South America
163,84.5,Arabica,China,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,0.0,Asia
164,84.5,Arabica,Guatemala,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,0.11,North America
165,84.5,Arabica,Kenya,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,0.11,Africa
166,84.5,Arabica,Mexico,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,0.12,North America
167,84.5,Arabica,Mexico,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,0.11,North America
168,84.5,Arabica,Guatemala,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,0.11,North America
169,84.5,Arabica,Brazil,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,0.0,South America
170,84.5,Arabica,Brazil,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.0,South America
171,84.42,Arabica,Costa Rica,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,0.1,North America
172,84.42,Arabica,Indonesia,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,0.0,Asia
173,84.42,Arabica,Colombia,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,0.0,South America
174,84.42,Arabica,Colombia,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,South America
175,84.42,Arabica,Taiwan,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,0.11,Asia
176,84.42,Arabica,United States (Hawaii),7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,0.11,North America
177,84.42,Arabica,Mexico,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,0.12,North America
178,84.42,Arabica,Ethiopia,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,0.2,Africa
179,84.33,Arabica,Kenya,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,0.11,Africa
180,84.33,Arabica,Honduras,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.1,North America
181,84.33,Arabica,Colombia,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,0.0,South America
182,84.33,Arabica,Honduras,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,0.11,North America
183,84.33,Arabica,Colombia,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,South America
184,84.33,Arabica,Colombia,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,0.11,South America
185,84.33,Arabica,Colombia,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,0.0,South America
186,84.33,Arabica,Mexico,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,0.12,North America
187,84.33,Arabica,Brazil,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,0.0,South America
188,84.33,Arabica,Brazil,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,0.02,South America
189,84.33,Arabica,Ethiopia,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,0.0,Africa
190,84.33,Arabica,Guatemala,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,0.04,North America
191,84.25,Arabica,Taiwan,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.12,Asia
192,84.25,Arabica,Thailand,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,0.12,Asia
193,84.25,Arabica,Colombia,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,0.11,South America
194,84.25,Arabica,Guatemala,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.11,North America
195,84.25,Arabica,Guatemala,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,0.1,North America
196,84.25,Arabica,China,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.1,Asia
197,84.25,Arabica,Colombia,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,0.11,South America
198,84.25,Arabica,Colombia,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,0.12,South America
199,84.25,Arabica,Colombia,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.12,South America
200,84.25,Arabica,Colombia,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.12,South America
201,84.25,Arabica,"Tanzania, United Republic Of",7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,0.12,Africa
202,84.25,Arabica,"Tanzania, United Republic Of",7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.12,Africa
203,84.25,Arabica,Guatemala,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,0.1,North America
204,84.25,Arabica,Colombia,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.11,South America
205,84.25,Arabica,United States (Hawaii),7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,0.11,North America
206,84.25,Arabica,Mexico,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,0.12,North America
207,84.25,Arabica,Mexico,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.12,North America
208,84.25,Arabica,Mexico,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,0.1,North America
209,84.25,Arabica,Uganda,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,0.13,Africa
210,84.17,Arabica,Guatemala,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,0.13,North America
211,84.17,Arabica,Colombia,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,0.0,South America
212,84.17,Arabica,Costa Rica,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,0.09,North America
213,84.17,Arabica,Guatemala,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,0.11,North America
214,84.17,Arabica,Guatemala,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.1,North America
